node_id,parent_id,level,name_en,name_zh,slug,source_type,source_url,status,example_product_types,case_folder,notes
appliances.ice-makers.nugget-ice-maker,appliances.ice-makers,L4,Nugget Ice Maker,,nugget-ice-maker,manual,,placeholder,nugget ice maker,cases/appliances/ice-makers/nugget-ice-maker/,Derived product type
appliances.range-hoods,appliances,L2,Range Hoods,抽油烟机/炉灶排烟罩,range-hoods,user_screenshot/manual,,planned,under cabinet range hood; wall mount range hood,cases/appliances/range-hoods/,Generic examples only
appliances.range-hoods.under-cabinet-range-hood,appliances.range-hoods,L4,Under Cabinet Range Hood,,under-cabinet-range-hood,manual,,placeholder,under cabinet range hood,cases/appliances/range-hoods/under-cabinet-range-hood/,Derived product type
appliances.range-hoods.wall-mount-range-hood,appliances.range-hoods,L4,Wall Mount Range Hood,,wall-mount-range-hood,manual,,placeholder,wall mount range hood,cases/appliances/range-hoods/wall-mount-range-hood/,Derived product type
appliances.ranges,appliances,L2,Ranges,炉灶整机,ranges,user_screenshot/manual,,planned,gas range; electric range,cases/appliances/ranges/,Generic examples only
appliances.ranges.gas-range,appliances.ranges,L4,Gas Range,,gas-range,manual,,placeholder,gas range,cases/appliances/ranges/gas-range/,Derived product type
appliances.ranges.electric-range,appliances.ranges,L4,Electric Range,,electric-range,manual,,placeholder,electric range,cases/appliances/ranges/electric-range/,Derived product type
appliances.wall-ovens,appliances,L2,Wall Ovens,嵌入式墙炉,wall-ovens,user_screenshot/manual,,planned,wall oven; double wall oven,cases/appliances/wall-ovens/,Generic examples only
appliances.wall-ovens.wall-oven,appliances.wall-ovens,L4,Wall Oven,,wall-oven,manual,,placeholder,wall oven,cases/appliances/wall-ovens/wall-oven/,Derived product type
appliances.wall-ovens.double-wall-oven,appliances.wall-ovens,L4,Double Wall Oven,,double-wall-oven,manual,,placeholder,double wall oven,cases/appliances/wall-ovens/double-wall-oven/,Derived product type
appliances.warming-drawers,appliances,L2,Warming Drawers,保温抽屉,warming-drawers,user_screenshot/manual,,planned,warming drawer; built-in warming drawer,cases/appliances/warming-drawers/,Generic examples only
appliances.warming-drawers.warming-drawer,appliances.warming-drawers,L4,Warming Drawer,,warming-drawer,manual,,placeholder,warming drawer,cases/appliances/warming-drawers/warming-drawer/,Derived product type
appliances.warming-drawers.built-in-warming-drawer,appliances.warming-drawers,L4,Built-In Warming Drawer,,built-in-warming-drawer,manual,,placeholder,built-in warming drawer,cases/appliances/warming-drawers/built-in-warming-drawer/,Derived product type
appliances.washers-and-dryers,appliances,L2,Washers & Dryers,洗衣机与烘干机,washers-and-dryers,user_screenshot/manual,,planned,portable washing machine; compact dryer,cases/appliances/washers-and-dryers/,Generic examples only
appliances.washers-and-dryers.portable-washing-machine,appliances.washers-and-dryers,L4,Portable Washing Machine,,portable-washing-machine,manual,,placeholder,portable washing machine,cases/appliances/washers-and-dryers/portable-washing-machine/,Derived product type
appliances.washers-and-dryers.compact-dryer,appliances.washers-and-dryers,L4,Compact Dryer,,compact-dryer,manual,,placeholder,compact dryer,cases/appliances/washers-and-dryers/compact-dryer/,Derived product type
appliances.wine-cellars,appliances,L2,Wine Cellars,酒柜,wine-cellars,user_screenshot/manual,,planned,wine cooler; wine cellar refrigerator,cases/appliances/wine-cellars/,Generic examples only
appliances.wine-cellars.wine-cooler,appliances.wine-cellars,L4,Wine Cooler,,wine-cooler,manual,,placeholder,wine cooler,cases/appliances/wine-cellars/wine-cooler/,Derived product type
appliances.wine-cellars.wine-cellar-refrigerator,appliances.wine-cellars,L4,Wine Cellar Refrigerator,,wine-cellar-refrigerator,manual,,placeholder,wine cellar refrigerator,cases/appliances/wine-cellars/wine-cellar-refrigerator/,Derived product type
arts-crafts-and-sewing,amazon-best-sellers,L1,"Arts, Crafts & Sewing",艺术、手工与缝纫,arts-crafts-and-sewing,user_screenshot/manual,,in_progress,beads; craft glue; cotton fabric; fabric paint; crochet hooks,cases/arts-crafts-and-sewing/,Public generic taxonomy
arts-crafts-and-sewing.beading-and-jewelry-making,arts-crafts-and-sewing,L2,Beading & Jewelry Making,串珠与首饰制作,beading-and-jewelry-making,user_screenshot/manual,,planned,beads; rhinestones; jewelry glue,cases/arts-crafts-and-sewing/beading-and-jewelry-making/,Generic examples only
arts-crafts-and-sewing.beading-and-jewelry-making.beads,arts-crafts-and-sewing.beading-and-jewelry-making,L4,Beads,,beads,manual,,placeholder,beads,cases/arts-crafts-and-sewing/beading-and-jewelry-making/beads/,Derived product type
arts-crafts-and-sewing.beading-and-jewelry-making.rhinestones,arts-crafts-and-sewing.beading-and-jewelry-making,L4,Rhinestones,,rhinestones,manual,,placeholder,rhinestones,cases/arts-crafts-and-sewing/beading-and-jewelry-making/rhinestones/,Derived product type
arts-crafts-and-sewing.beading-and-jewelry-making.jewelry-glue,arts-crafts-and-sewing.beading-and-jewelry-making,L4,Jewelry Glue,,jewelry-glue,manual,,placeholder,jewelry glue,cases/arts-crafts-and-sewing/beading-and-jewelry-making/jewelry-glue/,Derived product type
arts-crafts-and-sewing.craft-supplies,arts-crafts-and-sewing,L2,Craft Supplies,手工材料,craft-supplies,user_screenshot/manual,,planned,craft glue; glue sticks; craft tape,cases/arts-crafts-and-sewing/craft-supplies/,Generic examples only
arts-crafts-and-sewing.craft-supplies.craft-glue,arts-crafts-and-sewing.craft-supplies,L4,Craft Glue,,craft-glue,manual,,placeholder,craft glue,cases/arts-crafts-and-sewing/craft-supplies/craft-glue/,Derived product type
arts-crafts-and-sewing.craft-supplies.glue-sticks,arts-crafts-and-sewing.craft-supplies,L4,Glue Sticks,,glue-sticks,manual,,placeholder,glue sticks,cases/arts-crafts-and-sewing/craft-supplies/glue-sticks/,Derived product type
arts-crafts-and-sewing.craft-supplies.craft-tape,arts-crafts-and-sewing.craft-supplies,L4,Craft Tape,,craft-tape,manual,,placeholder,craft tape,cases/arts-crafts-and-sewing/craft-supplies/craft-tape/,Derived product type
arts-crafts-and-sewing.fabric,arts-crafts-and-sewing,L2,Fabric,布料,fabric,user_screenshot/manual,,planned,cotton fabric; felt sheets; fabric bundles,cases/arts-crafts-and-sewing/fabric/,Generic examples only
arts-crafts-and-sewing.fabric.cotton-fabric,arts-crafts-and-sewing.fabric,L4,Cotton Fabric,,cotton-fabric,manual,,placeholder,cotton fabric,cases/arts-crafts-and-sewing/fabric/cotton-fabric/,Derived product type
arts-crafts-and-sewing.fabric.felt-sheets,arts-crafts-and-sewing.fabric,L4,Felt Sheets,,felt-sheets,manual,,placeholder,felt sheets,cases/arts-crafts-and-sewing/fabric/felt-sheets/,Derived product type
arts-crafts-and-sewing.fabric.fabric-bundles,arts-crafts-and-sewing.fabric,L4,Fabric Bundles,,fabric-bundles,manual,,placeholder,fabric bundles,cases/arts-crafts-and-sewing/fabric/fabric-bundles/,Derived product type
arts-crafts-and-sewing.fabric-painting-and-dyeing,arts-crafts-and-sewing,L2,Fabric Painting & Dyeing,布料绘画与染色,fabric-painting-and-dyeing,user_screenshot/manual,,planned,fabric paint; fabric markers; tie dye kit,cases/arts-crafts-and-sewing/fabric-painting-and-dyeing/,Generic examples only
arts-crafts-and-sewing.fabric-painting-and-dyeing.fabric-paint,arts-crafts-and-sewing.fabric-painting-and-dyeing,L4,Fabric Paint,,fabric-paint,manual,,placeholder,fabric paint,cases/arts-crafts-and-sewing/fabric-painting-and-dyeing/fabric-paint/,Derived product type
arts-crafts-and-sewing.fabric-painting-and-dyeing.fabric-markers,arts-crafts-and-sewing.fabric-painting-and-dyeing,L4,Fabric Markers,,fabric-markers,manual,,placeholder,fabric markers,cases/arts-crafts-and-sewing/fabric-painting-and-dyeing/fabric-markers/,Derived product type
arts-crafts-and-sewing.fabric-painting-and-dyeing.tie-dye-kit,arts-crafts-and-sewing.fabric-painting-and-dyeing,L4,Tie Dye Kit,,tie-dye-kit,manual,,placeholder,tie dye kit,cases/arts-crafts-and-sewing/fabric-painting-and-dyeing/tie-dye-kit/,Derived product type
arts-crafts-and-sewing.knitting-and-crochet,arts-crafts-and-sewing,L2,Knitting & Crochet,针织与钩针,knitting-and-crochet,user_screenshot/manual,,planned,crochet hooks; knitting needles; knitting kits,cases/arts-crafts-and-sewing/knitting-and-crochet/,Generic examples only
arts-crafts-and-sewing.knitting-and-crochet.crochet-hooks,arts-crafts-and-sewing.knitting-and-crochet,L4,Crochet Hooks,,crochet-hooks,manual,,placeholder,crochet hooks,cases/arts-crafts-and-sewing/knitting-and-crochet/crochet-hooks/,Derived product type
arts-crafts-and-sewing.knitting-and-crochet.knitting-needles,arts-crafts-and-sewing.knitting-and-crochet,L4,Knitting Needles,,knitting-needles,manual,,placeholder,knitting needles,cases/arts-crafts-and-sewing/knitting-and-crochet/knitting-needles/,Derived product type
arts-crafts-and-sewing.knitting-and-crochet.knitting-kits,arts-crafts-and-sewing.knitting-and-crochet,L4,Knitting Kits,,knitting-kits,manual,,placeholder,knitting kits,cases/arts-crafts-and-sewing/knitting-and-crochet/knitting-kits/,Derived product type
arts-crafts-and-sewing.needlework,arts-crafts-and-sewing,L2,Needlework,刺绣与针线手工,needlework,user_screenshot/manual,,planned,embroidery kit; cross stitch kit,cases/arts-crafts-and-sewing/needlework/,Generic examples only
arts-crafts-and-sewing.needlework.embroidery-kit,arts-crafts-and-sewing.needlework,L4,Embroidery Kit,,embroidery-kit,manual,,placeholder,embroidery kit,cases/arts-crafts-and-sewing/needlework/embroidery-kit/,Derived product type
arts-crafts-and-sewing.needlework.cross-stitch-kit,arts-crafts-and-sewing.needlework,L4,Cross Stitch Kit,,cross-stitch-kit,manual,,placeholder,cross stitch kit,cases/arts-crafts-and-sewing/needlework/cross-stitch-kit/,Derived product type
arts-crafts-and-sewing.organization-and-storage,arts-crafts-and-sewing,L2,Organization & Storage,手工收纳与整理,organization-and-storage,user_screenshot/manual,,planned,craft storage box; bead organizer,cases/arts-crafts-and-sewing/organization-and-storage/,Generic examples only
arts-crafts-and-sewing.organization-and-storage.craft-storage-box,arts-crafts-and-sewing.organization-and-storage,L4,Craft Storage Box,,craft-storage-box,manual,,placeholder,craft storage box,cases/arts-crafts-and-sewing/organization-and-storage/craft-storage-box/,Derived product type
arts-crafts-and-sewing.organization-and-storage.bead-organizer,arts-crafts-and-sewing.organization-and-storage,L4,Bead Organizer,,bead-organizer,manual,,placeholder,bead organizer,cases/arts-crafts-and-sewing/organization-and-storage/bead-organizer/,Derived product type
arts-crafts-and-sewing.painting-drawing-and-art-supplies,arts-crafts-and-sewing,L2,"Painting, Drawing & Art Supplies",绘画、素描与美术用品,painting-drawing-and-art-supplies,user_screenshot/manual,,planned,acrylic paint markers; acrylic paint set; paint brushes,cases/arts-crafts-and-sewing/painting-drawing-and-art-supplies/,Generic examples only
arts-crafts-and-sewing.painting-drawing-and-art-supplies.acrylic-paint-markers,arts-crafts-and-sewing.painting-drawing-and-art-supplies,L4,Acrylic Paint Markers,,acrylic-paint-markers,manual,,placeholder,acrylic paint markers,cases/arts-crafts-and-sewing/painting-drawing-and-art-supplies/acrylic-paint-markers/,Derived product type
arts-crafts-and-sewing.painting-drawing-and-art-supplies.acrylic-paint-set,arts-crafts-and-sewing.painting-drawing-and-art-supplies,L4,Acrylic Paint Set,,acrylic-paint-set,manual,,placeholder,acrylic paint set,cases/arts-crafts-and-sewing/painting-drawing-and-art-supplies/acrylic-paint-set/,Derived product type
arts-crafts-and-sewing.painting-drawing-and-art-supplies.paint-brushes,arts-crafts-and-sewing.painting-drawing-and-art-supplies,L4,Paint Brushes,,paint-brushes,manual,,placeholder,paint brushes,cases/arts-crafts-and-sewing/painting-drawing-and-art-supplies/paint-brushes/,Derived product type
arts-crafts-and-sewing.photo-transfer-and-coloring-supplies,arts-crafts-and-sewing,L2,Photo Transfer & Coloring Supplies,照片转印与涂色用品,photo-transfer-and-coloring-supplies,user_screenshot/manual,,planned,coloring markers; transfer paper,cases/arts-crafts-and-sewing/photo-transfer-and-coloring-supplies/,Generic examples only
arts-crafts-and-sewing.photo-transfer-and-coloring-supplies.coloring-markers,arts-crafts-and-sewing.photo-transfer-and-coloring-supplies,L4,Coloring Markers,,coloring-markers,manual,,placeholder,coloring markers,cases/arts-crafts-and-sewing/photo-transfer-and-coloring-supplies/coloring-markers/,Derived product type
arts-crafts-and-sewing.photo-transfer-and-coloring-supplies.transfer-paper,arts-crafts-and-sewing.photo-transfer-and-coloring-supplies,L4,Transfer Paper,,transfer-paper,manual,,placeholder,transfer paper,cases/arts-crafts-and-sewing/photo-transfer-and-coloring-supplies/transfer-paper/,Derived product type
arts-crafts-and-sewing.printmaking,arts-crafts-and-sewing,L2,Printmaking,版画与印刷手工,printmaking,user_screenshot/manual,,planned,linocut tools; printing ink,cases/arts-crafts-and-sewing/printmaking/,Generic examples only
arts-crafts-and-sewing.printmaking.linocut-tools,arts-crafts-and-sewing.printmaking,L4,Linocut Tools,,linocut-tools,manual,,placeholder,linocut tools,cases/arts-crafts-and-sewing/printmaking/linocut-tools/,Derived product type
arts-crafts-and-sewing.printmaking.printing-ink,arts-crafts-and-sewing.printmaking,L4,Printing Ink,,printing-ink,manual,,placeholder,printing ink,cases/arts-crafts-and-sewing/printmaking/printing-ink/,Derived product type
arts-crafts-and-sewing.scrapbooking,arts-crafts-and-sewing,L2,Scrapbooking,剪贴簿手工,scrapbooking,user_screenshot/manual,,planned,scrapbook tape runner; paper embellishments,cases/arts-crafts-and-sewing/scrapbooking/,Generic examples only
arts-crafts-and-sewing.scrapbooking.scrapbook-tape-runner,arts-crafts-and-sewing.scrapbooking,L4,Scrapbook Tape Runner,,scrapbook-tape-runner,manual,,placeholder,scrapbook tape runner,cases/arts-crafts-and-sewing/scrapbooking/scrapbook-tape-runner/,Derived product type
arts-crafts-and-sewing.scrapbooking.paper-embellishments,arts-crafts-and-sewing.scrapbooking,L4,Paper Embellishments,,paper-embellishments,manual,,placeholder,paper embellishments,cases/arts-crafts-and-sewing/scrapbooking/paper-embellishments/,Derived product type
arts-crafts-and-sewing.sewing,arts-crafts-and-sewing,L2,Sewing,缝纫用品,sewing,user_screenshot/manual,,planned,sewing scissors; sewing kit,cases/arts-crafts-and-sewing/sewing/,Generic examples only
arts-crafts-and-sewing.sewing.sewing-scissors,arts-crafts-and-sewing.sewing,L4,Sewing Scissors,,sewing-scissors,manual,,placeholder,sewing scissors,cases/arts-crafts-and-sewing/sewing/sewing-scissors/,Derived product type
arts-crafts-and-sewing.sewing.sewing-kit,arts-crafts-and-sewing.sewing,L4,Sewing Kit,,sewing-kit,manual,,placeholder,sewing kit,cases/arts-crafts-and-sewing/sewing/sewing-kit/,Derived product type
arts-crafts-and-sewing.thread-and-floss,arts-crafts-and-sewing,L2,Thread & Floss,线与绣线,thread-and-floss,user_screenshot/manual,,planned,embroidery floss; sewing thread,cases/arts-crafts-and-sewing/thread-and-floss/,Generic examples only
arts-crafts-and-sewing.thread-and-floss.embroidery-floss,arts-crafts-and-sewing.thread-and-floss,L4,Embroidery Floss,,embroidery-floss,manual,,placeholder,embroidery floss,cases/arts-crafts-and-sewing/thread-and-floss/embroidery-floss/,Derived product type
arts-crafts-and-sewing.thread-and-floss.sewing-thread,arts-crafts-and-sewing.thread-and-floss,L4,Sewing Thread,,sewing-thread,manual,,placeholder,sewing thread,cases/arts-crafts-and-sewing/thread-and-floss/sewing-thread/,Derived product type
arts-crafts-and-sewing.yarn,arts-crafts-and-sewing,L2,Yarn,毛线,yarn,user_screenshot/manual,,planned,acrylic yarn; cotton yarn,cases/arts-crafts-and-sewing/yarn/,Generic examples only
arts-crafts-and-sewing.yarn.acrylic-yarn,arts-crafts-and-sewing.yarn,L4,Acrylic Yarn,,acrylic-yarn,manual,,placeholder,acrylic yarn,cases/arts-crafts-and-sewing/yarn/acrylic-yarn/,Derived product type
arts-crafts-and-sewing.yarn.cotton-yarn,arts-crafts-and-sewing.yarn,L4,Cotton Yarn,,cotton-yarn,manual,,placeholder,cotton yarn,cases/arts-crafts-and-sewing/yarn/cotton-yarn/,Derived product type
audible-books-and-originals,amazon-best-sellers,L1,Audible Books & Originals,Audible 有声书与原创内容,audible-books-and-originals,user_screenshot/manual,,in_progress,audiobook cover art; memoir audiobook; business audiobook; children's story audiobook; comedy audiobook,cases/audible-books-and-originals/,Public generic taxonomy
audible-books-and-originals.arts-and-entertainment,audible-books-and-originals,L2,Arts & Entertainment,艺术与娱乐,arts-and-entertainment,user_screenshot/manual,,planned,audiobook cover art; music biography audiobook,cases/audible-books-and-originals/arts-and-entertainment/,Generic examples only
audible-books-and-originals.arts-and-entertainment.audiobook-cover-art,audible-books-and-originals.arts-and-entertainment,L4,Audiobook Cover Art,,audiobook-cover-art,manual,,placeholder,audiobook cover art,cases/audible-books-and-originals/arts-and-entertainment/audiobook-cover-art/,Derived product type
audible-books-and-originals.arts-and-entertainment.music-biography-audiobook,audible-books-and-originals.arts-and-entertainment,L4,Music Biography Audiobook,,music-biography-audiobook,manual,,placeholder,music biography audiobook,cases/audible-books-and-originals/arts-and-entertainment/music-biography-audiobook/,Derived product type
audible-books-and-originals.biographies-and-memoirs,audible-books-and-originals,L2,Biographies & Memoirs,传记与回忆录,biographies-and-memoirs,user_screenshot/manual,,planned,memoir audiobook; business biography audiobook,cases/audible-books-and-originals/biographies-and-memoirs/,Generic examples only
audible-books-and-originals.biographies-and-memoirs.memoir-audiobook,audible-books-and-originals.biographies-and-memoirs,L4,Memoir Audiobook,,memoir-audiobook,manual,,placeholder,memoir audiobook,cases/audible-books-and-originals/biographies-and-memoirs/memoir-audiobook/,Derived product type
audible-books-and-originals.biographies-and-memoirs.business-biography-audiobook,audible-books-and-originals.biographies-and-memoirs,L4,Business Biography Audiobook,,business-biography-audiobook,manual,,placeholder,business biography audiobook,cases/audible-books-and-originals/biographies-and-memoirs/business-biography-audiobook/,Derived product type
audible-books-and-originals.business-and-careers,audible-books-and-originals,L2,Business & Careers,商业与职业,business-and-careers,user_screenshot/manual,,planned,business audiobook; leadership audiobook,cases/audible-books-and-originals/business-and-careers/,Generic examples only
audible-books-and-originals.business-and-careers.business-audiobook,audible-books-and-originals.business-and-careers,L4,Business Audiobook,,business-audiobook,manual,,placeholder,business audiobook,cases/audible-books-and-originals/business-and-careers/business-audiobook/,Derived product type
audible-books-and-originals.business-and-careers.leadership-audiobook,audible-books-and-originals.business-and-careers,L4,Leadership Audiobook,,leadership-audiobook,manual,,placeholder,leadership audiobook,cases/audible-books-and-originals/business-and-careers/leadership-audiobook/,Derived product type
audible-books-and-originals.childrens-audiobooks,audible-books-and-originals,L2,Children's Audiobooks,儿童有声书,childrens-audiobooks,user_screenshot/manual,,planned,children's story audiobook; bedtime story audiobook,cases/audible-books-and-originals/childrens-audiobooks/,Generic examples only
audible-books-and-originals.childrens-audiobooks.childrens-story-audiobook,audible-books-and-originals.childrens-audiobooks,L4,Children'S Story Audiobook,,childrens-story-audiobook,manual,,placeholder,children's story audiobook,cases/audible-books-and-originals/childrens-audiobooks/childrens-story-audiobook/,Derived product type
audible-books-and-originals.childrens-audiobooks.bedtime-story-audiobook,audible-books-and-originals.childrens-audiobooks,L4,Bedtime Story Audiobook,,bedtime-story-audiobook,manual,,placeholder,bedtime story audiobook,cases/audible-books-and-originals/childrens-audiobooks/bedtime-story-audiobook/,Derived product type
audible-books-and-originals.comedy-and-humor,audible-books-and-originals,L2,Comedy & Humor,喜剧与幽默,comedy-and-humor,user_screenshot/manual,,planned,comedy audiobook; humor essay audiobook,cases/audible-books-and-originals/comedy-and-humor/,Generic examples only
audible-books-and-originals.comedy-and-humor.comedy-audiobook,audible-books-and-originals.comedy-and-humor,L4,Comedy Audiobook,,comedy-audiobook,manual,,placeholder,comedy audiobook,cases/audible-books-and-originals/comedy-and-humor/comedy-audiobook/,Derived product type
audible-books-and-originals.comedy-and-humor.humor-essay-audiobook,audible-books-and-originals.comedy-and-humor,L4,Humor Essay Audiobook,,humor-essay-audiobook,manual,,placeholder,humor essay audiobook,cases/audible-books-and-originals/comedy-and-humor/humor-essay-audiobook/,Derived product type
audible-books-and-originals.computers-and-technology,audible-books-and-originals,L2,Computers & Technology,计算机与科技,computers-and-technology,user_screenshot/manual,,planned,technology audiobook; AI audiobook,cases/audible-books-and-originals/computers-and-technology/,Generic examples only
audible-books-and-originals.computers-and-technology.technology-audiobook,audible-books-and-originals.computers-and-technology,L4,Technology Audiobook,,technology-audiobook,manual,,placeholder,technology audiobook,cases/audible-books-and-originals/computers-and-technology/technology-audiobook/,Derived product type
audible-books-and-originals.computers-and-technology.ai-audiobook,audible-books-and-originals.computers-and-technology,L4,Ai Audiobook,,ai-audiobook,manual,,placeholder,AI audiobook,cases/audible-books-and-originals/computers-and-technology/ai-audiobook/,Derived product type
audible-books-and-originals.education-and-learning,audible-books-and-originals,L2,Education & Learning,教育与学习,education-and-learning,user_screenshot/manual,,planned,language learning audiobook; audio course cover,cases/audible-books-and-originals/education-and-learning/,Generic examples only
audible-books-and-originals.education-and-learning.language-learning-audiobook,audible-books-and-originals.education-and-learning,L4,Language Learning Audiobook,,language-learning-audiobook,manual,,placeholder,language learning audiobook,cases/audible-books-and-originals/education-and-learning/language-learning-audiobook/,Derived product type
audible-books-and-originals.education-and-learning.audio-course-cover,audible-books-and-originals.education-and-learning,L4,Audio Course Cover,,audio-course-cover,manual,,placeholder,audio course cover,cases/audible-books-and-originals/education-and-learning/audio-course-cover/,Derived product type
audible-books-and-originals.erotica,audible-books-and-originals,L2,Erotica,成人情感文学,erotica,user_screenshot/manual,,planned,adult romance audio cover,cases/audible-books-and-originals/erotica/,Generic examples only
audible-books-and-originals.erotica.adult-romance-audio-cover,audible-books-and-originals.erotica,L4,Adult Romance Audio Cover,,adult-romance-audio-cover,manual,,placeholder,adult romance audio cover,cases/audible-books-and-originals/erotica/adult-romance-audio-cover/,Derived product type
audible-books-and-originals.health-and-wellness,audible-books-and-originals,L2,Health & Wellness,健康与身心,health-and-wellness,user_screenshot/manual,,planned,wellness audiobook; mindfulness audiobook,cases/audible-books-and-originals/health-and-wellness/,Generic examples only
audible-books-and-originals.health-and-wellness.wellness-audiobook,audible-books-and-originals.health-and-wellness,L4,Wellness Audiobook,,wellness-audiobook,manual,,placeholder,wellness audiobook,cases/audible-books-and-originals/health-and-wellness/wellness-audiobook/,Derived product type
audible-books-and-originals.health-and-wellness.mindfulness-audiobook,audible-books-and-originals.health-and-wellness,L4,Mindfulness Audiobook,,mindfulness-audiobook,manual,,placeholder,mindfulness audiobook,cases/audible-books-and-originals/health-and-wellness/mindfulness-audiobook/,Derived product type
audible-books-and-originals.history,audible-books-and-originals,L2,History,历史,history,user_screenshot/manual,,planned,history audiobook; war history audiobook,cases/audible-books-and-originals/history/,Generic examples only
audible-books-and-originals.history.history-audiobook,audible-books-and-originals.history,L4,History Audiobook,,history-audiobook,manual,,placeholder,history audiobook,cases/audible-books-and-originals/history/history-audiobook/,Derived product type
audible-books-and-originals.history.war-history-audiobook,audible-books-and-originals.history,L4,War History Audiobook,,war-history-audiobook,manual,,placeholder,war history audiobook,cases/audible-books-and-originals/history/war-history-audiobook/,Derived product type
audible-books-and-originals.home-and-garden,audible-books-and-originals,L2,Home & Garden,家居与园艺,home-and-garden,user_screenshot/manual,,planned,home improvement audiobook; gardening audio guide,cases/audible-books-and-originals/home-and-garden/,Generic examples only
audible-books-and-originals.home-and-garden.home-improvement-audiobook,audible-books-and-originals.home-and-garden,L4,Home Improvement Audiobook,,home-improvement-audiobook,manual,,placeholder,home improvement audiobook,cases/audible-books-and-originals/home-and-garden/home-improvement-audiobook/,Derived product type
audible-books-and-originals.home-and-garden.gardening-audio-guide,audible-books-and-originals.home-and-garden,L4,Gardening Audio Guide,,gardening-audio-guide,manual,,placeholder,gardening audio guide,cases/audible-books-and-originals/home-and-garden/gardening-audio-guide/,Derived product type
audible-books-and-originals.lgbtq,audible-books-and-originals,L2,LGBTQ+,LGBTQ+,lgbtq,user_screenshot/manual,,planned,LGBTQ+ memoir audiobook; queer fiction audio cover,cases/audible-books-and-originals/lgbtq/,Generic examples only
audible-books-and-originals.lgbtq.lgbtq-memoir-audiobook,audible-books-and-originals.lgbtq,L4,Lgbtq+ Memoir Audiobook,,lgbtq-memoir-audiobook,manual,,placeholder,LGBTQ+ memoir audiobook,cases/audible-books-and-originals/lgbtq/lgbtq-memoir-audiobook/,Derived product type
